459	Tommy	Collazo	2	2005-05-24 22:54:33
408	Manuel	Murrell	3	2005-05-24 23:03:39
333	Andrew	Purdy	4	2005-05-24 23:04:41
222	Delores	Hansen	5	2005-05-24 23:05:21
549	Nelson	Christenson	6	2005-05-24 23:08:07
269	Cassandra	Walters	7	2005-05-24 23:11:53
239	Minnie	Romero	8	2005-05-24 23:31:46
126	Ellen	Simpson	9	2005-05-25 00:00:40
399	Danny	Isom	10	2005-05-25 00:02:21
142	April	Burns	11	2005-05-25 00:09:02
261	Deanna	Byrd	12	2005-05-25 00:19:27
334	Raymond	Mcwhorter	13	2005-05-25 00:22:55
446	Theodore	Culp	14	2005-05-25 00:31:15
319	Ronald	Weiner	15	2005-05-25 00:39:22
316	Steven	Curley	16	2005-05-25 00:43:11
575	Isaac	Oglesby	17	2005-05-25 01:06:36
19	Ruth	Martinez	18	2005-05-25 01:10:47
456	Ronnie	Ricketts	19	2005-05-25 01:17:24
185	Roberta	Harper	20	2005-05-25 01:48:41
388	Craig	Morrell	21	2005-05-25 01:59:46
509	Raul	Fortier	22	2005-05-25 02:19:23
438	Barry	Lovelace	23	2005-05-25 02:40:21
350	Juan	Fraley	24	2005-05-25 02:53:02
37	Pamela	Baker	25	2005-05-25 03:21:20
371	Billy	Poulin	26	2005-05-25 03:36:50
301	Robert	Baughman	27	2005-05-25 03:41:50
232	Constance	Reid	28	2005-05-25 03:42:37
44	Marie	Turner	29	2005-05-25 03:47:12
430	Ray	Houle	30	2005-05-25 04:01:32
369	Fred	Wheat	31	2005-05-25 04:05:17
230	Joy	George	32	2005-05-25 04:06:21
272	Kay	Caldwell	33	2005-05-25 04:18:51
597	Freddie	Duggan	34	2005-05-25 04:19:28
484	Roberto	Vu	35	2005-05-25 04:24:36
88	Bonnie	Hughes	36	2005-05-25 04:36:26
535	Javier	Elrod	37	2005-05-25 04:44:31
302	Michael	Silverman	38	2005-05-25 04:47:44
207	Gertrude	Castillo	39	2005-05-25 04:51:46
413	Marvin	Yee	40	2005-05-25 05:09:04
174	Yvonne	Watkins	41	2005-05-25 05:12:29
523	Harvey	Guajardo	42	2005-05-25 05:24:58
532	Neil	Renner	43	2005-05-25 05:39:25
207	Gertrude	Castillo	44	2005-05-25 05:53:23
436	Troy	Quigley	45	2005-05-25 05:59:39
7	Maria	Miller	46	2005-05-25 06:04:08
35	Virginia	Green	47	2005-05-25 06:05:20
282	Jenny	Castro	48	2005-05-25 06:20:46
498	Gene	Sanborn	49	2005-05-25 06:39:35
18	Carol	Garcia	50	2005-05-25 06:44:53
256	Mabel	Holland	51	2005-05-25 06:49:10
507	Edgar	Rhoads	52	2005-05-25 06:51:29
569	Dave	Gardiner	53	2005-05-25 07:19:16
291	Toni	Holt	54	2005-05-25 07:23:25
131	Monica	Hicks	55	2005-05-25 08:26:13
511	Chester	Benner	56	2005-05-25 08:28:11
6	Jennifer	Davis	57	2005-05-25 08:43:32
323	Matthew	Mahan	58	2005-05-25 08:53:14
408	Manuel	Murrell	59	2005-05-25 08:56:42
470	Gordon	Allard	60	2005-05-25 08:58:25
250	Jo	Fowler	61	2005-05-25 09:01:57
